set,foo,bar,1
get,foo,1,bar
get,foo,3,bar
set,foo,bar2,4
get,foo,4,bar2
get,foo,5,bar2

set,love,high,10
set,love,low,20
get,love,5,-
get,love,10,high
get,love,15,high
get,love,20,low
get,love,25,low

set,rtzoj,kuexwze,1
set,xcywxndnz,herqmazp,2
get,xcywxndnz,3,herqmazp
set,rtzoj,dgpguflin,4
get,xcywxndnz,5,herqmazp
set,dgpguflin,lvrexco,6
set,xcywxndnz,dgpguflin,7
get,xcywxndnz,8,dgpguflin
set,rtzoj,wxqixmxs,9
get,xcywxndnz,10,dgpguflin
set,kuexwze,lvrexco,11
get,dgpguflin,12,lvrexco
set,lvrexco,wxqixmxs,13
get,xcywxndnz,14,dgpguflin
set,herqmazp,vjfhio,15
get,dgpguflin,16,lvrexco
get,herqmazp,17,vjfhio
get,herqmazp,18,vjfhio
get,rtzoj,19,wxqixmxs
get,herqmazp,20,vjfhio
get,herqmazp,21,vjfhio
set,kuexwze,vjfhio,22
set,dgpguflin,qrkihrb,23
set,kuexwze,dgpguflin,24
get,rtzoj,25,wxqixmxs
get,dgpguflin,26,qrkihrb
set,herqmazp,rtzoj,27
set,lvrexco,iztpo,28
get,lvrexco,29,iztpo
set,kuexwze,lvrexco,30

set,pp,pp,1
get,pp,2,pp
get,pp,3,pp
set,pp,pp,4
get,pp,5,pp
get,pp,6,pp
get,pp,7,pp
set,pp,pp,8
get,pp,9,pp
set,pp,pp,10
get,pp,11,pp
set,pp,pp,12
get,pp,13,pp
get,pp,14,pp
get,pp,15,pp
get,pp,16,pp
set,pp,pp,17
get,pp,18,pp
get,pp,19,pp
set,pp,pp,20
get,pp,21,pp
get,pp,22,pp
get,pp,23,pp
get,pp,24,pp
get,pp,25,pp
set,pp,pp,26
get,pp,27,pp
get,pp,28,pp
set,pp,pp,29
set,pp,pp,30
set,pp,pp,31
get,pp,32,pp
get,pp,33,pp
get,pp,34,pp
set,pp,pp,35
set,pp,pp,36
get,pp,37,pp
get,pp,38,pp
get,pp,39,pp
set,pp,pp,40
get,pp,41,pp
set,pp,pp,42
get,pp,43,pp
set,pp,pp,44
get,pp,45,pp
get,pp,46,pp
set,pp,pp,47
get,pp,48,pp
set,pp,pp,49
get,pp,50,pp
set,pp,pp,51
get,pp,52,pp
get,pp,53,pp
get,pp,54,pp
set,pp,pp,55
get,pp,56,pp
get,pp,57,pp
set,pp,pp,58
set,pp,pp,59
get,pp,60,pp
set,pp,pp,61
set,pp,pp,62
set,pp,pp,63
set,pp,pp,64
set,pp,pp,65
get,pp,66,pp
set,pp,pp,67
get,pp,68,pp
get,pp,69,pp
get,pp,70,pp
set,pp,pp,71
set,pp,pp,72
set,pp,pp,73
set,pp,pp,74
set,pp,pp,75
set,pp,pp,76
set,pp,pp,77
set,pp,pp,78
set,pp,pp,79
set,pp,pp,80
set,pp,pp,81
get,pp,82,pp
get,pp,83,pp
get,pp,84,pp
get,pp,85,pp
set,pp,pp,86
set,pp,pp,87
set,pp,pp,88
set,pp,pp,89
get,pp,90,pp
set,pp,pp,91
get,pp,92,pp
get,pp,93,pp
get,pp,94,pp
set,pp,pp,95
set,pp,pp,96
set,pp,pp,97
set,pp,pp,98
set,pp,pp,99
get,pp,100,pp
get,pp,101,pp
set,pp,pp,102
set,pp,pp,103
set,pp,pp,104
set,pp,pp,105
get,pp,106,pp
set,pp,pp,107
get,pp,108,pp
get,pp,109,pp
get,pp,110,pp
set,pp,pp,111
get,pp,112,pp
set,pp,pp,113
get,pp,114,pp
get,pp,115,pp
set,pp,pp,116
set,pp,pp,117
set,pp,pp,118
set,pp,pp,119
get,pp,120,pp
set,pp,pp,121
get,pp,122,pp
get,pp,123,pp
get,pp,124,pp
set,pp,pp,125
set,pp,pp,126
set,pp,pp,127
get,pp,128,pp
set,pp,pp,129
get,pp,130,pp
set,pp,pp,131
set,pp,pp,132
get,pp,133,pp
get,pp,134,pp
set,pp,pp,135
set,pp,pp,136
set,pp,pp,137
set,pp,pp,138
set,pp,pp,139
set,pp,pp,140
get,pp,141,pp
set,pp,pp,142
get,pp,143,pp
get,pp,144,pp
set,pp,pp,145
get,pp,146,pp
set,pp,pp,147
get,pp,148,pp
set,pp,pp,149
set,pp,pp,150
get,pp,151,pp
get,pp,152,pp
set,pp,pp,153
set,pp,pp,154
get,pp,155,pp
get,pp,156,pp
get,pp,157,pp
set,pp,pp,158
set,pp,pp,159
set,pp,pp,160
set,pp,pp,161
set,pp,pp,162
get,pp,163,pp
get,pp,164,pp
get,pp,165,pp
set,pp,pp,166
get,pp,167,pp
set,pp,pp,168
set,pp,pp,169
get,pp,170,pp
set,pp,pp,171
set,pp,pp,172
set,pp,pp,173
get,pp,174,pp
set,pp,pp,175
get,pp,176,pp
get,pp,177,pp
set,pp,pp,178
get,pp,179,pp
set,pp,pp,180
set,pp,pp,181
get,pp,182,pp
get,pp,183,pp
get,pp,184,pp
set,pp,pp,185
set,pp,pp,186
set,pp,pp,187
get,pp,188,pp
get,pp,189,pp
get,pp,190,pp
set,pp,pp,191
set,pp,pp,192
set,pp,pp,193
get,pp,194,pp
set,pp,pp,195
get,pp,196,pp
get,pp,197,pp
get,pp,198,pp
set,pp,pp,199
set,pp,pp,200
set,pp,pp,201
set,pp,pp,202
set,pp,pp,203
set,pp,pp,204
get,pp,205,pp
set,pp,pp,206
set,pp,pp,207
get,pp,208,pp
get,pp,209,pp
set,pp,pp,210
set,pp,pp,211
get,pp,212,pp
get,pp,213,pp
get,pp,214,pp
set,pp,pp,215
